g,Q,t,y
0.819963129207173,75.4957439810513,0,78
0.113388022152722,84.4086987049194,0,80
0.29589414962317,76.0751925895522,0,80
0.185833000056946,78.8427849044607,0,66
0.786738846395611,80.1178249123271,1,54
0.508787091856504,84.1355057835085,0,84
0.331264208425641,83.3358899610247,1,92
0.409698693638615,78.44812683599,1,74
0.664880056443874,71.7207739596274,1,0
0.595053244120979,74.599556188484,1,70
0.096530192799187,80.6320415878928,0,74
0.607350224104936,83.1293153078731,1,82
0.336757830214248,81.2681758228557,0,74
0.288427832384275,78.8415335030756,0,90
0.365938751949348,82.0960055978805,1,80
0.617906949538339,77.617261557138,1,76
0.097107102912323,83.4656247678319,1,60
0.432397106498959,75.881478495801,1,90
0.636832946785023,69.0822528627989,1,68
0.646562791854778,75.2083971191958,1,88
0.642253103612841,67.3287261282835,1,60
0.238209513036641,89.042230759526,0,92
0.502375281612123,79.1396651256652,0,78
0.306863787840532,75.441631193701,1,98
0.248919169930175,79.8820830121838,1,86
0.399509546913961,76.8887924913245,0,72
0.567739900061839,83.3308092184021,0,90
0.625675654434547,73.5472714409847,1,86
0.535600460790132,85.6896242417233,0,80
0.608989023525286,77.4455518528434,1,88
0.747009842105992,74.7408247700871,0,68
0.406577759135399,75.8561405875021,1,68
0.549925659196855,75.5505607525265,0,72
0.413166121855607,87.4429443411641,1,80
0.170022460590045,77.0658188756825,1,80
0.126613178888733,80.5634483458823,0,70
0.159893556211159,80.7497277056175,0,80
0.32858612116198,85.8829252089127,0,88
0.393390707266617,82.535927159529,1,88
0.076782232583484,84.5615368331519,1,68
0.722005652887852,70.1247917426589,1,68
0.151048739852101,79.2740948573636,0,68
0.330960893652448,77.0589421187636,0,82
0.404470620015241,73.319100925751,0,58
0.310433848275944,81.816359999804,0,82
0.753921336311365,69.9745193578263,1,50
0.686922320260153,73.7025883467455,1,64
0.48221888662886,86.4771378973614,0,66
0.536040864303578,79.3896272922267,0,82
0.739754264255642,74.3837772032573,1,74
0.699894965419736,74.3255024431221,1,66
0.48212848950619,83.4627533971459,1,88
0.556614981711523,87.3909296344383,1,98
0.219514761957955,93.6786745632426,0,80
0.509497663495005,82.3214933237801,1,86
0.418733089007575,81.5069474433602,0,72
0.704056909450847,78.7276228891028,1,76
0.766319589902506,79.5962563271235,1,94
0.600991423134221,76.9666722262473,1,80
0.322467939874026,84.8648626534227,0,88
0.805549626252474,68.1380216024427,1,64
0.217494219604279,87.9414896268129,0,76
0.55843815961394,86.1260586589738,1,70
0.374020685508229,72.251670795207,1,76
0.70248235216748,82.9220098548105,1,60
0.707047624862189,87.6680082062092,1,78
0.204788717678208,88.2840955099872,0,74
0.803194783836981,80.3384515476771,1,82
0.474316574354324,77.18023880704,1,66
0.787870879040577,84.9504034358668,0,86
0.56796585281876,80.908775109843,1,68
0.62403031486258,76.9965881988576,1,80
0.087879116282842,80.0374517331219,1,76
0.585865430761848,84.7146872514192,1,88
0.603888193593093,79.5659903849064,1,72
0.672680398978935,77.0917877838229,1,64
0.527679453927772,73.1268384542634,1,70
0.520208801388942,79.3425265380139,0,82
0.494678459056092,83.4814885381752,0,70
0.419717853014148,82.6102278145287,1,80
0.505147477262272,85.5655715766749,1,88
0.764004601531247,72.5428564165698,1,72
