ghat,Qhat,t,y
0.07036350434350024,80.1994482494949,0,72
0.48734062385831195,82.94736299868491,1,90
0.7062193223944945,85.5877127744927,0,90
0.19649881088502752,85.2018791754555,0,78
0.8286765951902045,74.8850316177235,1,72
0.8729914336870774,67.2595998700196,1,60
0.2993542863865994,84.3311015108767,1,84
0.034634073456808086,71.28169553451491,0,70
0.1860820956827131,85.8952078533118,1,78
0.055266788504010844,79.5411209004306,0,82
0.37532652291057167,81.1589044164823,0,74
0.5340213358450075,81.1645622528395,1,86
0.5773986039253767,79.6395434828197,0,76
0.6591422481997758,76.9283313980149,0,68
0.15241640470077072,87.5704856251558,1,76
0.624092417588804,83.5782634744003,0,86
0.6409763134480901,78.44755617931851,1,84
0.5660857684914804,78.6205400247247,1,82
0.0955895970628125,78.9631969938911,0,98
0.43297372484135666,88.2206249496427,0,80
0.7702037361223533,79.23726890381529,0,88
0.7365358032181619,82.4444030212457,0,80
0.4601969813764183,82.85607347459501,0,104
0.8719004242518756,68.0859584907605,1,82
0.7013299086562136,76.2211768893319,1,68
0.13159055421375623,80.62666411643829,0,58
0.5385279946341524,87.7515258335482,0,84
0.028247239252286716,85.5108525709212,0,84
0.04144974666035119,73.2605671411196,0,70
0.373498352927654,84.56211698979179,1,68
0.44337407824506875,83.01118758299259,0,70
0.8653029307397598,77.0039301875816,1,62
0.45944235397011013,84.2488526078897,0,88
0.3669122478918082,77.84217719890579,0,74
0.2584586472129976,89.86066545355409,0,92
0.491684466706083,79.45954754089858,1,86
0.12217417994835772,81.8604979283992,0,96
0.7540248733754903,74.07297895801999,1,84
0.22840738432151447,84.2004863324346,0,80
0.36046510051695996,82.7090037476188,0,96
0.6049904418476855,86.03343402548359,0,86
0.5698898923738562,75.11389306883859,0,46
0.13548081354992975,89.97489522880801,0,86
0.717413624947,77.4172731973071,0,70
0.03524639667325478,69.2980029657476,0,96
0.32739123579875096,83.3760527137467,0,78
0.03615348294701507,71.9403644014049,0,68
0.08833782358295462,81.3699927179098,0,92
0.7732627020797717,69.4731821205079,1,96
0.1815265612104624,91.1195688101639,0,88
0.07074119328627534,75.37064643801091,0,70
0.5424736695171399,79.21140075852792,1,68
0.1527940130109741,86.3346197971181,0,98
0.6345308103838406,78.19952492935991,1,84
0.2878534636282655,88.4755054365956,1,100
0.5375320736019952,84.5505056958756,0,100
0.43762530975147296,82.93336555599609,0,98
0.16844574358474176,86.8325561548441,0,78
0.1467648313802807,80.482369381099,0,88
0.1464289532251746,84.5323788415348,0,68
0.06558402928692537,70.8581451393716,0,76
0.49820070445120923,84.6423180247436,1,108
0.13888813788404333,84.09408371614721,0,82
0.5790083736216961,82.9517098298128,0,66
0.7699895919200727,76.3167038471228,0,88
0.8595016324736973,76.759175859481,0,90
0.21023085177616435,86.29576345392108,0,82
0.6894461840612406,70.3420955135835,1,56
0.5331411898774088,85.0381444423756,0,96
0.14963808248422664,73.9085812959157,0,76
0.8234541068093446,72.3432031968641,1,64
0.14148943128495228,85.832310390345,0,84
